VehRegNo,DistanceTraveled
139-9552,0.0
139-9552,0.0
139-9552,0.0
139-9572,0.0
139-9572,0.0
139-9572,0.0
139-9572,0.0
139-9572,0.0
139-9572,0.0
139-9593,462.0
139-9593,462.0
139-9593,462.0
139-9611,3343.0
139-9636,0.0
139-9636,0.0
139-9636,0.0
139-9802,7610.0
139-9915,21212.0
139-9915,13367.0
14-0871,9018.0
14-0871,9018.0
14-0871,8967.0
14-0871,8967.0
14-0871,8967.0
14-0871,8967.0
14-0926,24374.0
14-0951,12793.0
14-0951,12793.0
14-0951,12793.0
14-0951,12793.0
14-1024,0.0
14-1024,0.0
14-1024,0.0
14-1137,12728.0
14-1137,12756.0
14-1456,19535.0
14-1456,19535.0
14-1613,2975.0
14-1613,2965.0
14-1653,1976.0
14-1664,4688.0
14-1664,4697.0
14-1664,4716.0
14-1664,4666.0
14-1664,4675.0
14-1664,4694.0
14-1761,14200.0
14-1761,245691.0
14-1761,245694.0
14-1761,244774.0
14-1761,14200.0
14-1761,245691.0
14-1761,245694.0
14-1761,244774.0
14-1881,236183.0
14-1881,236183.0
14-1881,236201.0
14-1881,236201.0
14-1881,236201.0
14-2006,2295.0
14-2006,2305.0
14-2006,2295.0
14-2006,2305.0
14-2112,111111.0
14-2112,111111.0
14-2112,111111.0
14-2820,130346.0
14-2820,130346.0
14-2820,130346.0
14-2820,130346.0
14-2820,130346.0
14-2820,130346.0
14-3176,9433.0
14-3291,466.0
14-3291,466.0
14-6313,4.0
14-6932,0.0
14-7158,101436.0
14-7158,101436.0
14-7158,101436.0
14-7158,101436.0
14-7165,82722.0
14-7165,82722.0
14-7449,1016.0
14-7702,364829.0
14-7702,364829.0
14-7702,364829.0
14-7702,364829.0
14-7702,364829.0
14-7702,364829.0
14-7812,0.0
14-7812,0.0
14-7812,6.0
14-7812,6.0
14-8069,3922.0
14-8069,3715.0
14-8069,3922.0
14-8247,52725.0
14-8432,130.0
14-9858,993.0
14-9858,250535.0
14-9858,250607.0
140-0110,0.0
140-0110,0.0
140-0110,0.0
140-0110,0.0
140-0110,0.0
140-0864,13383.0
140-0891,0.0
140-0891,0.0
140-1103,8304.0
140-1124,0.0
140-1343,2.0
140-1343,2.0
140-1452,0.0
140-1881,222.0
140-2115,2575.0
140-2115,2575.0
140-2374,60402.0
140-2374,0.0
140-2374,0.0
140-2374,0.0
140-2578,3000.0
140-2578,3000.0
140-2578,0.0
140-2578,0.0
140-2578,0.0
140-2817,283684.0
140-2817,283684.0
140-3034,0.0
140-3034,0.0
140-3169,7345.0
140-3169,7333.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4542,0.0
140-4881,2543.0
140-5716,0.0
140-5751,4210.0
140-5751,4210.0
140-5751,4210.0
140-5751,4210.0
140-6042,77609.0
140-6042,77708.0
140-8562,93365.0
141-1786,6447.0
141-3422,6.0
141-3422,6.0
141-3422,6.0
141-3422,6.0
141-3422,6.0
141-3422,6.0
141-3422,6.0
141-3422,6.0
141-6163,0.0
141-6163,0.0
141-8765,2822.0
142-2210,0.0
142-2210,0.0
142-2210,0.0
142-2210,0.0
143-0627,1.0
143-0627,1.0
143-0627,1.0
143-0627,1.0
143-0627,1.0
143-0627,1.0
143-1894,33452.0
143-1894,33452.0
143-1894,33452.0
143-2518,9.0
143-3056,0.0
143-3499,45001.0
143-3559,0.0
143-3559,0.0
143-3689,19587.0
143-3689,72167.0
143-3689,19587.0
143-3689,19587.0
143-3692,7987.0
143-3692,7987.0
143-4134,6.0
143-4134,6.0
143-4134,6.0
143-4134,6.0
143-4189,68791.0
143-4767,866.0
143-4767,865.0
143-4845,782.0
143-4845,49218.0
143-5117,3412.0
143-5117,3416.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5583,0.0
143-5984,5846.0
143-6145,0.0
143-6145,0.0
143-6620,9.0
143-6620,9.0
143-6723,0.0
143-6723,0.0
143-6723,0.0
143-6723,0.0
143-6907,0.0
143-6907,0.0
143-6913,0.0
143-6913,0.0
143-7297,73910.0
143-7297,73910.0
143-8002,4301.0
143-8002,70162.0
143-8510,0.0
143-8655,2.0
143-8655,2.0
143-8655,2.0
143-8655,2.0
143-8655,2.0
143-8655,2.0
143-8655,2.0
143-8655,2.0
143-8888,5044.0
143-8888,5073.0
143-8888,5002.0
143-8888,5031.0
143-9781,0.0
143-9781,0.0
143-9781,0.0
143-9781,0.0
143-9781,0.0
143-9781,0.0
143-9781,0.0
143-9781,0.0
144-0196,20635.0
144-0196,20643.0
144-0196,20643.0
144-0196,20661.0
144-0196,20635.0
144-0196,20643.0
144-0196,20643.0
144-0196,20661.0
144-0434,0.0
144-2145,97433.0
144-2145,97433.0
144-3150,3177.0
144-3150,10401.0
144-3150,3334.0
144-3150,3174.0
144-3150,10404.0
144-3150,3331.0
144-3195,6062.0
144-3195,6062.0
144-3195,6057.0
144-3195,6057.0
144-3215,0.0
144-3215,0.0
144-3215,0.0
144-3215,0.0
144-3320,555.0
144-3320,555.0
144-3320,555.0
144-3320,528.0
144-6747,24144.0
144-7144,2000.0
144-7144,0.0
144-7144,2000.0
144-7144,0.0
144-9068,26.0
145-2419,5.0
145-9595,772.0
146-0722,598.0
146-0722,598.0
146-1343,957.0
146-4205,0.0
146-4205,0.0
146-4205,0.0
146-4205,0.0
146-4205,0.0
146-4205,0.0
146-4771,0.0
146-4794,0.0
146-5644,52000.0
146-5644,52000.0
146-5645,4000.0
146-5645,4000.0
146-5645,4000.0
146-5645,4000.0
146-5932,0.0
146-6082,0.0
146-6082,0.0
146-6082,0.0
146-6082,0.0
146-6275,35636.0
146-6466,0.0
146-6466,200.0
146-6466,0.0
146-6497,87188.0
146-6498,8.0
146-6498,6.0
146-6498,8.0
146-6498,6.0
146-6499,4176.0
146-6588,0.0
146-6634,631.0
146-6634,631.0
146-6687,0.0
146-6910,6085.0
146-7255,0.0
146-7406,0.0
146-7422,53770.0
146-7422,53770.0
146-7422,11.0
146-7422,11.0
146-7500,5846.0
146-7509,5416.0
146-7509,5416.0
146-7509,5417.0
146-7509,5416.0
146-7509,5416.0
146-7509,5416.0
146-7509,5417.0
146-7509,5416.0
146-7509,5416.0
146-7509,5416.0
146-7509,5417.0
146-7509,5416.0
146-7524,11860.0
146-7524,11860.0
146-7673,94530.0
146-7673,94530.0
146-7728,1579.0
146-8330,3923.0
146-8330,3932.0
146-8330,3932.0
146-8330,3958.0
146-8762,0.0
146-8762,0.0
146-8762,0.0
146-8762,0.0
146-8762,0.0
146-8762,0.0
146-8853,87568.0
146-8853,87568.0
146-8962,52.0
146-8962,52.0
146-8962,52.0
146-8962,52.0
146-9182,0.0
146-9182,0.0
146-9249,0.0
146-9249,0.0
146-9268,95679.0
146-9268,95679.0
146-9268,95679.0
146-9268,95679.0
146-9268,95679.0
146-9268,95679.0
146-9574,3645.0
146-9574,3660.0
146-9574,3642.0
146-9574,3657.0
146-9577,5663.0
146-9662,5.0
146-9662,5.0
146-9714,9434.0
146-9758,600.0
146-9929,10112.0
146-9929,10112.0
146-9929,10112.0
146-9929,10112.0
147-0413,1080.0
147-0431,62023.0
147-0902,3.0
147-0902,3.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1058,3342.0
147-1577,3263.0
147-1942,66815.0
147-2572,3617.0
147-4365,33.0
147-4365,33.0
147-4365,33.0
147-4365,33.0
147-4396,10004.0
147-4557,8189.0
147-4557,8189.0
147-4557,8189.0
147-4557,8189.0
147-4557,8189.0
147-4557,8189.0
147-5021,1060.0
147-5021,1060.0
147-5021,1060.0
147-5021,1060.0
147-5568,59905.0
147-5568,59905.0
147-6835,0.0
147-7048,0.0
147-7048,30.0
147-8874,0.0
148-1511,91421.0
149-6926,0.0
149-7524,124152.0
149-8651,67.0
149-8651,65.0
149-9477,9193.0
149-9826,0.0
149-9826,0.0
15-0170,16078.0
15-1520,3325.0
15-1520,3336.0
15-2864,286060.0
15-2864,1031.0
15-2864,286060.0
15-2864,286060.0
15-2864,1031.0
15-2864,286060.0
15-3046,2.0
15-3046,2.0
15-3046,2.0
15-3046,2.0
15-3275,5.0
15-3405,3971.0
15-3449,65014.0
15-3451,0.0
15-3463,4055.0
15-3572,419330.0
15-3572,419330.0
15-3572,419330.0
15-3572,419330.0
15-3572,419330.0
15-3572,419330.0
15-3572,419330.0
